20181210 085900;2626.25;2626.25;2626.25;2626.25;1
20181210 090000;2625.75;2626;2625.75;2626;4
20181210 090100;2626;2626.25;2626;2626.25;5
20181210 090200;2626.5;2626.5;2626.5;2626.5;2
20181210 090400;2627;2628.5;2627;2628;16
20181210 090500;2627.25;2627.25;2627.25;2627.25;1
20181210 090800;2628;2628.25;2628;2628.25;2
20181210 090900;2627.25;2627.25;2627.25;2627.25;1
20181210 091100;2626.75;2627.5;2626.75;2627.5;3
20181210 091200;2628;2628;2628;2628;1
20181210 091300;2628.25;2629;2628.25;2629;3
20181210 091500;2630.5;2630.5;2630.25;2630.25;2
20181210 091600;2630;2630.5;2630;2630.5;6
20181210 091700;2629.5;2629.5;2629.5;2629.5;1
20181210 091800;2629.25;2629.25;2629;2629;7
20181210 091900;2629.25;2629.25;2629;2629;4
20181210 092000;2630;2630;2629.75;2629.75;5
20181210 092100;2631;2631.25;2631;2631.25;4
20181210 092200;2631.5;2632;2631.5;2631.75;5
20181210 092300;2630.75;2630.75;2630.5;2630.5;2
20181210 092500;2630;2630;2630;2630;5
20181210 092600;2629.75;2629.75;2629.5;2629.5;4
20181210 092800;2629.25;2629.25;2628.25;2628.5;5
20181210 092900;2628;2628.5;2628;2628.5;3
20181210 093000;2627.25;2627.5;2627.25;2627.5;3
20181210 093100;2627.75;2627.75;2627.75;2627.75;3
20181210 093200;2627.75;2627.75;2627.25;2627.5;6
20181210 093300;2627.75;2629.25;2627.75;2629.25;2
20181210 093400;2629;2630.25;2629;2630;5
20181210 093500;2629.5;2630;2629.5;2630;3
20181210 093600;2630.5;2631;2630.5;2631;6
20181210 093700;2631.25;2631.25;2631.25;2631.25;1
20181210 093800;2631.75;2632;2631.25;2631.25;10
20181210 093900;2631.25;2632;2631.25;2631.75;9
20181210 094000;2631.75;2631.75;2631.25;2631.25;3
20181210 094100;2631.75;2632.25;2631.75;2631.75;6
20181210 094200;2631.75;2631.75;2631.75;2631.75;2
20181210 094300;2631.75;2631.75;2631.75;2631.75;2
20181210 094500;2631.75;2631.75;2631.5;2631.5;2
20181210 094700;2630.5;2630.5;2630.5;2630.5;3
20181210 095000;2630.5;2630.75;2630.5;2630.75;3
20181210 095200;2631;2631.25;2630.5;2631.25;3
